dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.961041,8.802537,0.225453,1.169846,3.001738,0.016661,0.000448
0.005000,0.966965,8.802540,0.231378,1.184855,3.001821,0.016612,0.000460
0.005000,0.972965,8.802542,0.237377,1.199864,3.001906,0.016935,0.000473
0.005000,0.979039,8.802545,0.243451,1.214874,3.001992,0.017146,0.000486
0.005000,0.985188,8.802548,0.249601,1.229885,3.002079,0.017357,0.000499
0.005000,0.991413,8.802551,0.255825,1.244895,3.002166,0.017568,0.000513
0.005000,0.997712,8.802555,0.262125,1.259907,3.002255,0.017779,0.000527
0.005000,1.004087,8.802558,0.268499,1.274918,3.002345,0.017990,0.000540
0.005000,1.010537,8.802562,0.274949,1.289931,3.002436,0.018201,0.000555
0.005000,1.017061,8.802565,0.281474,1.304943,3.002528,0.018412,0.000569
0.005000,1.023661,8.802569,0.288074,1.319956,3.002627,0.019687,0.000583
0.005000,1.030336,8.802573,0.294748,1.334970,3.002716,0.017885,0.000598
0.005000,1.037086,8.802577,0.301498,1.349984,3.002811,0.019019,0.000613
0.005000,1.043911,8.802581,0.308323,1.364999,3.002908,0.019256,0.000628
0.005000,1.050811,8.802586,0.315223,1.380014,3.003005,0.019467,0.000644
0.005000,1.057786,8.802590,0.322199,1.395029,3.003111,0.021142,0.000660
0.005000,1.064836,8.802595,0.329249,1.410045,3.003204,0.018583,0.000675
0.005000,1.071962,8.802600,0.336374,1.425062,3.003304,0.020032,0.000692
0.005000,1.079162,8.802605,0.343574,1.440079,3.003406,0.020466,0.000708
0.005000,1.086437,8.802610,0.350850,1.455096,3.003517,0.022101,0.000725
0.005000,1.093788,8.802616,0.358201,1.470114,3.003612,0.019087,0.000741
0.005000,1.101214,8.802621,0.365626,1.485133,3.003717,0.020942,0.000759
0.005000,1.108714,8.802627,0.373127,1.500152,3.003831,0.022929,0.000776
0.005000,1.116290,8.802633,0.380703,1.515172,3.003932,0.020072,0.000793
0.005000,1.123941,8.802639,0.388354,1.530192,3.004038,0.021182,0.000811
0.005000,1.131667,8.802645,0.396080,1.545213,3.004158,0.024073,0.000829
0.005000,1.139468,8.802652,0.403881,1.560234,3.004258,0.019961,0.000848
0.005000,1.147345,8.802659,0.411757,1.575256,3.004372,0.022915,0.000866
0.005000,1.155296,8.802666,0.419709,1.590278,3.004489,0.023409,0.000885
0.005000,1.163323,8.802673,0.427735,1.605301,3.004594,0.020859,0.000904
0.005000,1.171424,8.802680,0.435837,1.620325,3.004721,0.025550,0.000924
0.005000,1.179601,8.802688,0.444014,1.635349,3.004825,0.020642,0.000943
0.005000,1.187853,8.802696,0.452265,1.650374,3.004951,0.025217,0.000963
0.005000,1.196180,8.802704,0.460592,1.665399,3.005062,0.022342,0.000983
0.005000,1.204582,8.802712,0.468995,1.680425,3.005186,0.024712,0.001004
0.005000,1.213059,8.802721,0.477472,1.695452,3.005303,0.023338,0.001024
0.005000,1.221612,8.802729,0.486024,1.710479,3.005427,0.024917,0.001045
0.005000,1.230239,8.802739,0.494652,1.725506,3.005545,0.023618,0.001067
0.005000,1.238942,8.802748,0.503354,1.740535,3.005675,0.025842,0.001088
0.005000,1.247720,8.802758,0.512132,1.755564,3.005790,0.023172,0.001110
0.005000,1.256573,8.802768,0.520985,1.770593,3.005928,0.027499,0.001132
0.005000,1.265501,8.802778,0.529913,1.785624,3.006042,0.022739,0.001155
0.005000,1.274504,8.802788,0.538917,1.800654,3.006180,0.027648,0.001177
0.005000,1.283582,8.802799,0.547995,1.815686,3.006302,0.024510,0.001200
0.005000,1.292736,8.802810,0.557149,1.830718,3.006431,0.025696,0.001224
0.005000,1.301965,8.802822,0.566377,1.845751,3.006571,0.028008,0.001247
0.005000,1.311269,8.802833,0.575681,1.860784,3.006692,0.024283,0.001271
0.005000,1.320648,8.802845,0.585060,1.875819,3.006829,0.027398,0.001295
0.005000,1.330102,8.802858,0.594515,1.890853,3.006968,0.027748,0.001320
0.005000,1.339631,8.802870,0.604044,1.905889,3.007096,0.025493,0.001344
0.005000,1.349236,8.802883,0.613649,1.920925,3.007233,0.027515,0.001370
0.005000,1.358916,8.802897,0.623328,1.935962,3.007379,0.029153,0.001395
0.005000,1.368671,8.802910,0.633083,1.951000,3.007508,0.025874,0.001421
0.005000,1.378501,8.802925,0.642914,1.966038,3.007648,0.027965,0.001447
0.005000,1.388406,8.802939,0.652819,1.981077,3.007792,0.028698,0.001473
0.005000,1.398387,8.802954,0.662800,1.996116,3.007936,0.028968,0.001500
0.005000,1.408443,8.802969,0.672855,2.011157,3.008074,0.027412,0.001527
0.005000,1.418574,8.802985,0.682986,2.026198,3.008218,0.028810,0.001554
0.005000,1.428780,8.803001,0.693193,2.041240,3.008363,0.029022,0.001582
0.005000,1.439061,8.803017,0.703474,2.056282,3.008512,0.029828,0.001610
0.005000,1.449418,8.803034,0.713831,2.071326,3.008659,0.029418,0.001638
0.005000,1.459850,8.803051,0.724262,2.086370,3.008804,0.028998,0.001667
0.005000,1.470357,8.803069,0.734770,2.101414,3.008953,0.029867,0.001696
0.005000,1.480939,8.803087,0.745352,2.116460,3.009104,0.030078,0.001726
0.005000,1.491597,8.803106,0.756009,2.131506,3.009255,0.030289,0.001756
0.005000,1.502329,8.803125,0.766742,2.146553,3.009408,0.030500,0.001786
0.005000,1.513137,8.803144,0.777550,2.161601,3.009561,0.030711,0.001816
0.005000,1.524021,8.803164,0.788433,2.176650,3.009716,0.030963,0.001847
0.005000,1.534979,8.803184,0.799392,2.191699,3.009873,0.031456,0.001878
0.005000,1.546013,8.803205,0.810426,2.206749,3.010028,0.030886,0.001910
0.005000,1.557122,8.803227,0.821535,2.221800,3.010185,0.031555,0.001942
0.005000,1.568306,8.803249,0.832719,2.236852,3.010344,0.031766,0.001974
0.005000,1.579565,8.803271,0.843978,2.251904,3.010504,0.031976,0.002007
0.005000,1.590900,8.803294,0.855313,2.266958,3.010665,0.032187,0.002040
0.005000,1.602310,8.803317,0.866723,2.282012,3.010827,0.032398,0.002073
0.005000,1.613796,8.803341,0.878209,2.297067,3.010990,0.032609,0.002107
0.005000,1.625356,8.803366,0.889769,2.312122,3.011154,0.032820,0.002141
0.005000,1.636992,8.803391,0.901405,2.327179,3.011321,0.033327,0.002176
0.005000,1.648703,8.803417,0.913116,2.342236,3.011487,0.033223,0.002211
0.005000,1.660490,8.803443,0.924903,2.357295,3.011653,0.033273,0.002247
0.005000,1.672351,8.803470,0.936765,2.372354,3.011822,0.033663,0.002282
0.005000,1.684288,8.803497,0.948702,2.387414,3.011991,0.033873,0.002319
0.005000,1.696301,8.803525,0.960714,2.402475,3.012161,0.034084,0.002355
0.005000,1.708388,8.803554,0.972802,2.417536,3.012333,0.034295,0.002392
0.005000,1.720551,8.803583,0.984965,2.432599,3.012505,0.034505,0.002430
0.005000,1.732790,8.803613,0.997203,2.447662,3.012680,0.034983,0.002468
0.005000,1.745103,8.803644,1.009517,2.462726,3.012859,0.035768,0.002506
0.005000,1.757492,8.803675,1.021906,2.477792,3.013030,0.034131,0.002545
0.005000,1.769956,8.803707,1.034370,2.492858,3.013207,0.035348,0.002584
